ID,Diagnostic Code,Diagnosis Description
161,0114,Tb Fibrosis Of Lung
162,01140,Tb Lung Fibrosis-Unspec
163,01141,Tb Lung Fibrosis-No Exam
164,01142,Tb Lung Fibros-Exam Unkn
165,01143,Tb Lung Fibros-Micro Dx
166,01144,Tb Lung Fibrosis-Cult Dx
167,01145,Tb Lung Fibros-Histo Dx
168,01146,Tb Lung Fibros-Oth Test
169,0115,Tb Bronchiectasis
170,01150,Tb Bronchiectasis-Unspec
171,01151,Tb Bronchiect-No Exam
172,01152,Tb Bronchiect-Exam Unkn
173,01153,Tb Bronchiect-Micro Dx
174,01154,Tb Bronchiect-Cult Dx
175,01155,Tb Bronchiect-Histo Dx
176,01156,Tb Bronchiect-Oth Test
177,0116,Tuberculous Pneumonia
178,01160,Tb Pneumonia-Unspec
179,01161,Tb Pneumonia-No Exam
180,01162,Tb Pneumonia-Exam Unkn
181,01163,Tb Pneumonia-Micro Dx
182,01164,Tb Pneumonia-Cult Dx
183,01165,Tb Pneumonia-Histo Dx
184,01166,Tb Pneumonia-Oth Test
185,0117,Tuberculous Pneumothorax
186,01170,Tb Pneumothorax-Unspec
187,01171,Tb Pneumothorax-No Exam
188,01172,Tb Pneumothorx-Exam Unkn
189,01173,Tb Pneumothorax-Micro Dx
190,01174,Tb Pneumothorax-Cult Dx
191,01175,Tb Pneumothorax-Histo Dx
192,01176,Tb Pneumothorax-Oth Test
193,0118,Pulmonary Tb Nec
194,01180,Pulmonary Tb Nec-Unspec
195,01181,Pulmonary Tb Nec-No Exam
196,01182,Pulmon Tb Nec-Exam Unkn
197,01183,Pulmon Tb Nec-Micro Dx
198,01184,Pulmon Tb Nec-Cult Dx
199,01185,Pulmon Tb Nec-Histo Dx
200,01186,Pulmon Tb Nec-Oth Test
201,0119,Pulmonary Tb Nos
202,01190,Pulmonary Tb Nos-Unspec
203,01191,Pulmonary Tb Nos-No Exam
204,01192,Pulmon Tb Nos-Exam Unkn
205,01193,Pulmon Tb Nos-Micro Dx
206,01194,Pulmon Tb Nos-Cult Dx
207,01195,Pulmon Tb Nos-Histo Dx
208,01196,Pulmon Tb Nos-Oth Test
209,012,Other Respiratory Tb
210,0120,Tuberculous Pleurisy
211,01200,Tb Pleurisy-Unspec
212,01201,Tb Pleurisy-No Exam
213,01202,Tb Pleurisy-Exam Unkn
214,01203,Tb Pleurisy-Micro Dx
215,01204,Tb Pleurisy-Cult Dx
216,01205,Tb Pleurisy-Histolog Dx
217,01206,Tb Pleurisy-Oth Test
218,0121,Tb Thoracic Lymph Nodes
219,01210,Tb Thoracic Nodes-Unspec
220,01211,Tb Thorax Node-No Exam
221,01212,Tb Thorax Node-Exam Unkn
222,01213,Tb Thorax Node-Micro Dx
223,01214,Tb Thorax Node-Cult Dx
224,01215,Tb Thorax Node-Histo Dx
225,01216,Tb Thorax Node-Oth Test
226,0122,Isolated Trach/Bronch Tb
227,01220,Isol Tracheal Tb-Unspec
228,01221,Isol Tracheal Tb-No Exam
229,01222,Isol Trach Tb-Exam Unkn
230,01223,Isolat Trach Tb-Micro Dx
231,01224,Isol Tracheal Tb-Cult Dx
232,01225,Isolat Trach Tb-Histo Dx
233,01226,Isolat Trach Tb-Oth Test
234,0123,Tuberculous Laryngitis
235,01230,Tb Laryngitis-Unspec
236,01231,Tb Laryngitis-No Exam
237,01232,Tb Laryngitis-Exam Unkn
238,01233,Tb Laryngitis-Micro Dx
239,01234,Tb Laryngitis-Cult Dx
240,01235,Tb Laryngitis-Histo Dx
241,01236,Tb Laryngitis-Oth Test
242,0128,Respiratory Tb Nec
243,01280,Resp Tb Nec-Unspec
244,01281,Resp Tb Nec-No Exam
245,01282,Resp Tb Nec-Exam Unkn
246,01283,Resp Tb Nec-Micro Dx
247,01284,Resp Tb Nec-Cult Dx
248,01285,Resp Tb Nec-Histo Dx
249,01286,Resp Tb Nec-Oth Test
250,013,Cns Tuberculosis
251,0130,Tuberculous Meningitis
252,01300,Tb Meningitis-Unspec
253,01301,Tb Meningitis-No Exam
254,01302,Tb Meningitis-Exam Unkn
255,01303,Tb Meningitis-Micro Dx
256,01304,Tb Meningitis-Cult Dx
257,01305,Tb Meningitis-Histo Dx
258,01306,Tb Meningitis-Oth Test
259,0131,Tuberculoma Of Meninges
260,01310,Tubrclma Meninges-Unspec
261,01311,Tubrclma Mening-No Exam
262,01312,Tubrclma Menin-Exam Unkn
263,01313,Tubrclma Mening-Micro Dx
264,01314,Tubrclma Mening-Cult Dx
265,01315,Tubrclma Mening-Histo Dx
266,01316,Tubrclma Mening-Oth Test
267,0132,Tuberculoma Of Brain
268,01320,Tuberculoma Brain-Unspec
269,01321,Tubrcloma Brain-No Exam
270,01322,Tubrclma Brain-Exam Unkn
271,01323,Tubrcloma Brain-Micro Dx
272,01324,Tubrcloma Brain-Cult Dx
273,01325,Tubrcloma Brain-Histo Dx
274,01326,Tubrcloma Brain-Oth Test
275,0133,Tb Abscess Of Brain
276,01330,Tb Brain Abscess-Unspec
277,01331,Tb Brain Abscess-No Exam
278,01332,Tb Brain Absc-Exam Unkn
279,01333,Tb Brain Absc-Micro Dx
280,01334,Tb Brain Abscess-Cult Dx
281,01335,Tb Brain Absc-Histo Dx
282,01336,Tb Brain Absc-Oth Test
283,0134,Tuberculoma Spinal Cord
284,01340,Tubrclma Sp Cord-Unspec
285,01341,Tubrclma Sp Cord-No Exam
286,01342,Tubrclma Sp Cd-Exam Unkn
287,01343,Tubrclma Sp Crd-Micro Dx
288,01344,Tubrclma Sp Cord-Cult Dx
289,01345,Tubrclma Sp Crd-Histo Dx
290,01346,Tubrclma Sp Crd-Oth Test
291,0135,Tb Abscess Spinal Cord
292,01350,Tb Sp Crd Abscess-Unspec
293,01351,Tb Sp Crd Absc-No Exam
294,01352,Tb Sp Crd Absc-Exam Unkn
295,01353,Tb Sp Crd Absc-Micro Dx
296,01354,Tb Sp Crd Absc-Cult Dx
297,01355,Tb Sp Crd Absc-Histo Dx
298,01356,Tb Sp Crd Absc-Oth Test
299,0136,Tb Encephalitis/Myelitis
300,01360,Tb Encephalitis-Unspec
301,01361,Tb Encephalitis-No Exam
302,01362,Tb Encephalit-Exam Unkn
303,01363,Tb Encephalitis-Micro Dx
304,01364,Tb Encephalitis-Cult Dx
305,01365,Tb Encephalitis-Histo Dx
306,01366,Tb Encephalitis-Oth Test
307,0138,Cns Tuberculosis Nec
308,01380,Cns Tb Nec-Unspec
309,01381,Cns Tb Nec-No Exam
310,01382,Cns Tb Nec-Exam Unkn
311,01383,Cns Tb Nec-Micro Dx
312,01384,Cns Tb Nec-Cult Dx
313,01385,Cns Tb Nec-Histo Dx
314,01386,Cns Tb Nec-Oth Test
315,0139,Cns Tuberculosis Nos
316,01390,Cns Tb Nos-Unspec
317,01391,Cns Tb Nos-No Exam
318,01392,Cns Tb Nos-Exam Unkn
319,01393,Cns Tb Nos-Micro Dx
320,01394,Cns Tb Nos-Cult Dx
321,01395,Cns Tb Nos-Histo Dx
322,01396,Cns Tb Nos-Oth Test
323,014,Intestinal Tb
324,0140,Tuberculous Peritonitis
325,01400,Tb Peritonitis-Unspec
326,01401,Tb Peritonitis-No Exam
327,01402,Tb Peritonitis-Exam Unkn
328,01403,Tb Peritonitis-Micro Dx
329,01404,Tb Peritonitis-Cult Dx
330,01405,Tb Peritonitis-Histo Dx
331,01406,Tb Peritonitis-Oth Test
332,0148,Intestinal Tb Nec
333,01480,Intestinal Tb Nec-Unspec
334,01481,Intestin Tb Nec-No Exam
335,01482,Intest Tb Nec-Exam Unkn
336,01483,Intestin Tb Nec-Micro Dx
337,01484,Intestin Tb Nec-Cult Dx
338,01485,Intestin Tb Nec-Histo Dx
339,01486,Intestin Tb Nec-Oth Test
340,015,Tb Of Bone And Joint
341,0150,Tb Of Vertebral Column
342,01500,Tb Of Vertebra-Unspec
343,01501,Tb Of Vertebra-No Exam
344,01502,Tb Of Vertebra-Exam Unkn
345,01503,Tb Of Vertebra-Micro Dx
346,01504,Tb Of Vertebra-Cult Dx
347,01505,Tb Of Vertebra-Histo Dx
348,01506,Tb Of Vertebra-Oth Test
349,0151,Tb Of Hip
350,01510,Tb Of Hip-Unspec
351,01511,Tb Of Hip-No Exam
352,01512,Tb Of Hip-Exam Unkn
353,01513,Tb Of Hip-Micro Dx
354,01514,Tb Of Hip-Cult Dx
355,01515,Tb Of Hip-Histo Dx
356,01516,Tb Of Hip-Oth Test
357,0152,Tb Of Knee
358,01520,Tb Of Knee-Unspec
359,01521,Tb Of Knee-No Exam
360,01522,Tb Of Knee-Exam Unkn
361,01523,Tb Of Knee-Micro Dx
362,01524,Tb Of Knee-Cult Dx
363,01525,Tb Of Knee-Histo Dx
364,01526,Tb Of Knee-Oth Test
365,0155,Tb Of Limb Bones
366,01550,Tb Of Limb Bones-Unspec
367,01551,Tb Limb Bones-No Exam
368,01552,Tb Limb Bones-Exam Unkn
369,01553,Tb Limb Bones-Micro Dx
370,01554,Tb Limb Bones-Cult Dx
371,01555,Tb Limb Bones-Histo Dx
372,01556,Tb Limb Bones-Oth Test
373,0156,Tb Of Mastoid
374,01560,Tb Of Mastoid-Unspec
375,01561,Tb Of Mastoid-No Exam
376,01562,Tb Of Mastoid-Exam Unkn
377,01563,Tb Of Mastoid-Micro Dx
378,01564,Tb Of Mastoid-Cult Dx
379,01565,Tb Of Mastoid-Histo Dx
380,01566,Tb Of Mastoid-Oth Test
381,0157,Tb Of Bone Nec
382,01570,Tb Of Bone Nec-Unspec
383,01571,Tb Of Bone Nec-No Exam
384,01572,Tb Of Bone Nec-Exam Unkn
385,01573,Tb Of Bone Nec-Micro Dx
386,01574,Tb Of Bone Nec-Cult Dx
387,01575,Tb Of Bone Nec-Histo Dx
388,01576,Tb Of Bone Nec-Oth Test
389,0158,Tb Of Joint Nec
390,01580,Tb Of Joint Nec-Unspec
391,01581,Tb Of Joint Nec-No Exam
392,01582,Tb Joint Nec-Exam Unkn
393,01583,Tb Of Joint Nec-Micro Dx
394,01584,Tb Of Joint Nec-Cult Dx
395,01585,Tb Of Joint Nec-Histo Dx
396,01586,Tb Of Joint Nec-Oth Test
397,0159,Tb Of Bone & Joint Nos
398,01590,Tb Bone/Joint Nos-Unspec
399,01591,Tb Bone/Jt Nos-No Exam
400,01592,Tb Bone/Jt Nos-Exam Unkn
401,01593,Tb Bone/Jt Nos-Micro Dx
402,01594,Tb Bone/Jt Nos-Cult Dx
403,01595,Tb Bone/Jt Nos-Histo Dx
404,01596,Tb Bone/Jt Nos-Oth Test
405,016,Genitourinary Tb
406,0160,Tb Of Kidney
407,01600,Tb Of Kidney-Unspec
408,01601,Tb Of Kidney-No Exam
409,01602,Tb Of Kidney-Exam Unkn
410,01603,Tb Of Kidney-Micro Dx
411,01604,Tb Of Kidney-Cult Dx
412,01605,Tb Of Kidney-Histo Dx
413,01606,Tb Of Kidney-Oth Test
414,0161,Tb Of Bladder
415,01610,Tb Of Bladder-Unspec
416,01611,Tb Of Bladder-No Exam
417,01612,Tb Of Bladder-Exam Unkn
418,01613,Tb Of Bladder-Micro Dx
419,01614,Tb Of Bladder-Cult Dx
420,01615,Tb Of Bladder-Histo Dx
421,01616,Tb Of Bladder-Oth Test
422,0162,Tb Of Ureter
423,01620,Tb Of Ureter-Unspec
424,01621,Tb Of Ureter-No Exam
425,01622,Tb Of Ureter-Exam Unkn
426,01623,Tb Of Ureter-Micro Dx
427,01624,Tb Of Ureter-Cult Dx
428,01625,Tb Of Ureter-Histo Dx
429,01626,Tb Of Ureter-Oth Test
430,0163,Tb Of Urinary Organ Nec
431,01630,Tb Urinary Nec-Unspec
432,01631,Tb Urinary Nec-No Exam
433,01632,Tb Urinary Nec-Exam Unkn
434,01633,Tb Urinary Nec-Micro Dx
435,01634,Tb Urinary Nec-Cult Dx
436,01635,Tb Urinary Nec-Histo Dx
437,01636,Tb Urinary Nec-Oth Test
438,0164,Tb Of Epididymis
439,01640,Tb Epididymis-Unspec
440,01641,Tb Epididymis-No Exam
441,01642,Tb Epididymis-Exam Unkn
442,01643,Tb Epididymis-Micro Dx
443,01644,Tb Epididymis-Cult Dx
444,01645,Tb Epididymis-Histo Dx
445,01646,Tb Epididymis-Oth Test
446,0165,Tb Male Genital Org Nec
447,01650,Tb Male Genit Nec-Unspec
448,01651,Tb Male Gen Nec-No Exam
449,01652,Tb Male Gen Nec-Ex Unkn
450,01653,Tb Male Gen Nec-Micro Dx
451,01654,Tb Male Gen Nec-Cult Dx
452,01655,Tb Male Gen Nec-Histo Dx
453,01656,Tb Male Gen Nec-Oth Test
454,0166,Tb Of Ovary And Tube
455,01660,Tb Ovary & Tube-Unspec
456,01661,Tb Ovary & Tube-No Exam
457,01662,Tb Ovary/Tube-Exam Unkn
458,01663,Tb Ovary & Tube-Micro Dx
459,01664,Tb Ovary & Tube-Cult Dx
460,01665,Tb Ovary & Tube-Histo Dx
461,01666,Tb Ovary & Tube-Oth Test
462,0167,Tb Female Genit Org Nec
463,01670,Tb Female Gen Nec-Unspec
464,01671,Tb Fem Gen Nec-No Exam
465,01672,Tb Fem Gen Nec-Exam Unkn
466,01673,Tb Fem Gen Nec-Micro Dx
467,01674,Tb Fem Gen Nec-Cult Dx
468,01675,Tb Fem Gen Nec-Histo Dx
469,01676,Tb Fem Gen Nec-Oth Test
470,0169,Genitourinary Tb Nos
471,01690,Gu Tb Nos-Unspec
472,01691,Gu Tb Nos-No Exam
473,01692,Gu Tb Nos-Exam Unkn
474,01693,Gu Tb Nos-Micro Dx
475,01694,Gu Tb Nos-Cult Dx
476,01695,Gu Tb Nos-Histo Dx
477,01696,Gu Tb Nos-Oth Test
478,017,Tuberculosis Nec
479,0170,Tb Skin & Subcutaneous
480,01700,Tb Skin/Subcutan-Unspec
481,01701,Tb Skin/Subcut-No Exam
482,01702,Tb Skin/Subcut-Exam Unkn
483,01703,Tb Skin/Subcut-Micro Dx
484,01704,Tb Skin/Subcut-Cult Dx
485,01705,Tb Skin/Subcut-Histo Dx
486,01706,Tb Skin/Subcut-Oth Test
487,0171,Erythema Nodosum In Tb
488,01710,Erythema Nodos Tb-Unspec
489,01711,Erythem Nodos Tb-No Exam
490,01712,Erythem Nod Tb-Exam Unkn
491,01713,Erythem Nod Tb-Micro Dx
492,01714,Erythem Nodos Tb-Cult Dx
493,01715,Erythem Nod Tb-Histo Dx
494,01716,Erythem Nod Tb-Oth Test
495,0172,Tb Of Periph Lymph Node
496,01720,Tb Periph Lymph-Unspec
497,01721,Tb Periph Lymph-No Exam
498,01722,Tb Periph Lymph-Exam Unk
499,01723,Tb Periph Lymph-Micro Dx
500,01724,Tb Periph Lymph-Cult Dx
501,01725,Tb Periph Lymph-Histo Dx
502,01726,Tb Periph Lymph-Oth Test
503,0173,Tb Of Eye
504,01730,Tb Of Eye-Unspec
505,01731,Tb Of Eye-No Exam
506,01732,Tb Of Eye-Exam Unkn
507,01733,Tb Of Eye-Micro Dx
508,01734,Tb Of Eye-Cult Dx
509,01735,Tb Of Eye-Histo Dx
510,01736,Tb Of Eye-Oth Test
511,0174,Tb Of Ear
512,01740,Tb Of Ear-Unspec
513,01741,Tb Of Ear-No Exam
514,01742,Tb Of Ear-Exam Unkn
515,01743,Tb Of Ear-Micro Dx
516,01744,Tb Of Ear-Cult Dx
517,01745,Tb Of Ear-Histo Dx
518,01746,Tb Of Ear-Oth Test
519,0175,Tb Of Thyroid Gland
520,01750,Tb Of Thyroid-Unspec
521,01751,Tb Of Thyroid-No Exam
522,01752,Tb Of Thyroid-Exam Unkn
523,01753,Tb Of Thyroid-Micro Dx
524,01754,Tb Of Thyroid-Cult Dx
525,01755,Tb Of Thyroid-Histo Dx
526,01756,Tb Of Thyroid-Oth Test
527,0176,Tb Of Adrenal Gland
528,01760,Tb Of Adrenal-Unspec
529,01761,Tb Of Adrenal-No Exam
530,01762,Tb Of Adrenal-Exam Unkn
531,01763,Tb Of Adrenal-Micro Dx
532,01764,Tb Of Adrenal-Cult Dx
533,01765,Tb Of Adrenal-Histo Dx
534,01766,Tb Of Adrenal-Oth Test
535,0177,Tb Of Spleen
536,01770,Tb Of Spleen-Unspec
537,01771,Tb Of Spleen-No Exam
538,01772,Tb Of Spleen-Exam Unkn
539,01773,Tb Of Spleen-Micro Dx
540,01774,Tb Of Spleen-Cult Dx
541,01775,Tb Of Spleen-Histo Dx
542,01776,Tb Of Spleen-Oth Test
543,0178,Tb Of Esophagus
544,01780,Tb Esophagus-Unspec
545,01781,Tb Esophagus-No Exam
546,01782,Tb Esophagus-Exam Unkn
547,01783,Tb Esophagus-Micro Dx
548,01784,Tb Esophagus-Cult Dx
549,01785,Tb Esophagus-Histo Dx
550,01786,Tb Esophagus-Oth Test
551,0179,Tb Of Organ Nec
552,01790,Tb Of Organ Nec-Unspec
553,01791,Tb Of Organ Nec-No Exam
554,01792,Tb Organ Nec-Exam Unkn
555,01793,Tb Of Organ Nec-Micro Dx
556,01794,Tb Of Organ Nec-Cult Dx
557,01795,Tb Of Organ Nec-Histo Dx
558,01796,Tb Of Organ Nec-Oth Test
559,018,Miliary Tuberculosis
560,0180,Acute Miliary Tb
561,01800,Acute Miliary Tb-Unspec
562,01801,Acute Miliary Tb-No Exam
563,01802,Ac Miliary Tb-Exam Unkn
564,01803,Ac Miliary Tb-Micro Dx
565,01804,Acute Miliary Tb-Cult Dx
566,01805,Ac Miliary Tb-Histo Dx
567,01806,Ac Miliary Tb-Oth Test
568,0188,Miliary Tb Nec
569,01880,Miliary Tb Nec-Unspec
570,01881,Miliary Tb Nec-No Exam
571,01882,Miliary Tb Nec-Exam Unkn
572,01883,Miliary Tb Nec-Micro Dx
573,01884,Miliary Tb Nec-Cult Dx
574,01885,Miliary Tb Nec-Histo Dx
575,01886,Miliary Tb Nec-Oth Test
576,0189,Miliary Tuberculosis Nos
577,01890,Miliary Tb Nos-Unspec
578,01891,Miliary Tb Nos-No Exam
579,01892,Miliary Tb Nos-Exam Unkn
580,01893,Miliary Tb Nos-Micro Dx
581,01894,Miliary Tb Nos-Cult Dx
582,01895,Miliary Tb Nos-Histo Dx
583,01896,Miliary Tb Nos-Oth Test
584,020,Plague
585,0200,Bubonic Plague
586,0201,Cellulocutaneous Plague
587,0202,Septicemic Plague
588,0203,Primary Pneumonic Plague
589,0204,Secondary Pneumon Plague
590,0205,Pneumonic Plague Nos
591,0208,Other Types Of Plague
592,0209,Plague Nos
593,021,Tularemia
594,0210,Ulceroglandul Tularemia
595,0211,Enteric Tularemia
596,0212,Pulmonary Tularemia
597,0213,Oculoglandular Tularemia
598,0218,Tularemia Nec
599,0219,Tularemia Nos
600,022,Anthrax
601,0220,Cutaneous Anthrax
602,0221,Pulmonary Anthrax
603,0222,Gastrointestinal Anthrax
604,0223,Anthrax Septicemia
605,0228,Other Anthrax Manifest
606,0229,Anthrax Nos
607,023,Brucellosis
608,0230,Brucella Melitensis
609,0231,Brucella Abortus
610,0232,Brucella Suis
611,0233,Brucella Canis
612,0238,Brucellosis Nec
613,0239,Brucellosis Nos
614,024,Glanders
615,025,Melioidosis
616,026,Rat-Bite Fever
617,0260,Spirillary Fever
618,0261,Streptobacillary Fever
619,0269,Rat-Bite Fever Nos
620,027,Other Bacterial Zoonoses
621,0270,Listeriosis
622,0271,Erysipelothrix Infection
623,0272,Pasteurellosis
624,0278,Zoonotic Bact Dis Nec
625,0279,Zoonotic Bact Dis Nos
626,030,Leprosy
627,0300,Lepromatous Leprosy
628,0301,Tuberculoid Leprosy
629,0302,Indeterminate Leprosy
630,0303,Borderline Leprosy
631,0308,Leprosy Nec
632,0309,Leprosy Nos
633,031,Other Mycobacterial Dis
634,0310,Pulmonary Mycobacteria
635,0311,Cutaneous Mycobacteria
636,0312,Dmac Bacteremia
637,0318,Mycobacterial Dis Nec
638,0319,Mycobacterial Dis Nos
639,032,Diphtheria
640,0320,Faucial Diphtheria
641,0321,Nasopharynx Diphtheria
642,0322,Ant Nasal Diphtheria
643,0323,Laryngeal Diphtheria
644,0328,Other Diphtheria
645,03281,Conjunctival Diphtheria
646,03282,Diphtheritic Myocarditis
647,03283,Diphtheritic Peritonitis
648,03284,Diphtheritic Cystitis
649,03285,Cutaneous Diphtheria
650,03289,Diphtheria Nec
651,0329,Diphtheria Nos
652,033,Whooping Cough
653,0330,Bordetella Pertussis
654,0331,Bordetella Parapertussis
655,0338,Whooping Cough Nec
656,0339,Whooping Cough Nos
657,034,Strep Throat/Scarlet Fev
658,0340,Strep Sore Throat
659,0341,Scarlet Fever
660,035,Erysipelas
661,036,Meningococcal Infection
662,0360,Meningococcal Meningitis
663,0361,Meningococc Encephalitis
664,0362,Meningococcemia
665,0363,Meningococc Adrenal Synd
666,0364,Meningococcal Carditis
667,03640,Meningococc Carditis Nos
668,03641,Meningococc Pericarditis
669,03642,Meningococc Endocarditis
670,03643,Meningococc Myocarditis
671,0368,Other Meningococcal Inf
672,03681,Meningococc Optic Neurit
673,03682,Meningococc Arthropathy
674,03689,Meningococcal Infect Nec
675,0369,Meningococcal Infect Nos
676,037,Tetanus
677,038,Septicemia
678,0380,Streptococcal Septicemia
679,0381,Staphylococc Septicemia
680,03810,Staphylcocc Septicem Nos
681,03811,Staph Aureus Septicemia
682,03819,Staphylcocc Septicem Nec
683,0382,Pneumococcal Septicemia
684,0383,Anaerobic Septicemia
685,0384,Gram-Neg Septicemia Nec
686,03840,Gram-Neg Septicemia Nos
687,03841,H. Influenae Septicemia
688,03842,E Coli Septicemia
689,03843,Pseudomonas Septicemia
690,03844,Serratia Septicemia
